id,date,time,year,month,day,hour,day_of_week,district,city,latitude,longitude,deaths_count
487677,2026-09-10,07:00:29,2026,9,10,7,Thursday,Anuradhapura,හබරණ,8.0333,80.75,0
487623,2026-09-09,19:22:33,2026,9,9,19,Wednesday,Colombo,කඩුවෙල,6.9333,79.9833,0
487616,2026-09-09,17:49:48,2026,9,9,17,Wednesday,Nuwara Eliya,නල්ලතන්නිය,6.8,80.5,0
487562,2026-09-09,14:56:40,2026,9,9,14,Wednesday,Nuwara Eliya,නුවරඑළිය,6.9497,80.7891,4
487444,2026-09-09,00:47:11,2026,9,9,0,Wednesday,Matara,මාතර,5.9485,80.5353,1
487429,2026-09-08,19:52:26,2026,9,8,19,Tuesday,Badulla,ඇල්ල,6.8667,81.05,0
487426,2026-09-08,19:49:02,2026,9,8,19,Tuesday,Jaffna,යාපනය,9.6615,80.0255,0
487391,2026-09-08,16:01:22,2026,9,8,16,Tuesday,,,,,0
487266,2026-09-08,08:56:11,2026,9,8,8,Tuesday,Hambantota,කතරගම,6.4134,81.3346,0
487107,2026-09-07,11:34:38,2026,9,7,11,Monday,Kurunegala,කුරුණෑගල,7.4863,80.3623,0
487072,2026-09-07,08:56:56,2026,9,7,8,Monday,Gampaha,කටුනායක,7.1697,79.8844,0
487041,2026-09-06,22:44:59,2026,9,6,22,Sunday,,,,,1
486987,2026-09-06,16:44:57,2026,9,6,16,Sunday,Monaragala,මොණරාගල,6.8728,81.3507,1
486938,2026-09-06,10:53:09,2026,9,6,10,Sunday,Colombo,බොරලැස්ගමුව,6.8389,79.9003,0
486788,2026-09-05,13:30:26,2026,9,5,13,Saturday,,,,,1
486523,2026-09-03,22:35:08,2026,9,3,22,Thursday,,,,,0
486447,2026-09-03,13:18:57,2026,9,3,13,Thursday,Hambantota,කතරගම,6.4134,81.3346,0
486295,2026-09-02,15:16:07,2026,9,2,15,Wednesday,,,,,0
486228,2026-09-02,10:24:03,2026,9,2,10,Wednesday,Colombo,කොළඹ,6.9271,79.8612,0
485950,2026-08-31,16:39:33,2026,8,31,16,Monday,Kegalle,මාවනැල්ල,7.25,80.45,0
485896,2026-08-31,12:05:59,2026,8,31,12,Monday,,,,,1
485869,2026-08-31,09:46:36,2026,8,31,9,Monday,Gampaha,ජා-ඇල,7.0744,79.8919,0
